fixture,vm_exit,interpreter_exit,vm_matches_snapshot,interpreter_matches_snapshot,delta_type,mismatch_bucket,bucket_owner,priority,rationale
tests/arg_parser.kujo,0,4,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/array_methods_test.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/bytecode_vm.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/cli_module.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/destructuring.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/dict_methods_test.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/enhanced_errors.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/env_and_args.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/error_call_stack_test.kujo,4,4,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/error_no_stack_test.kujo,4,4,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/image_processing_test.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/integer_types.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/jit_inline_cache.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/match_empty_body.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/match_no_param.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/minimal_match_test.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/net_test.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/range_format_test.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/result_option.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/simple_error_test.kujo,4,4,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/simple_image_test.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/simple_match_test.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/simple_ok.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/simple_result_test.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/spread_operator.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/stdlib_io_test.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/stdlib_os_path_test.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/stdlib_test.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/string_methods_test.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_arithmetic.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_array_contains.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_array_simple.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_assert_simple.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_assertions.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_basic_print.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_binary_files.kujo,4,4,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_binary_simple.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_call_method.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_chain.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_chain_debug.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_collections.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_comment_edge_cases.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_connection_pooling.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_database_transactions.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_debug_add.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_display.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_doc_comments.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_dunder.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_enhanced_collections.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_enum_err.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_enum_err_only.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_enum_nested.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_enum_none.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_enum_ok.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_exceptions_comprehensive.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_for_range.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_for_simple.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_func_loop_correct.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_function_drop_fix.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_functions.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_generators.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_higher_order.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_http.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_http_headers.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_http_type_checking.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_json_edge_cases.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_json_parse.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_json_serialize.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_loop_correct.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_method_array.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_method_chaining.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_method_features.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_method_field_ref.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_method_name.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_method_param_minimal.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_method_print.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_method_with_print.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_minimal.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_minimal_hang.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_mixed_comments.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_module_syntax.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_multiline_comments.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_negative.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_no_semi.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_op_add.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_op_add_debug.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_operator_add_working.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_operator_overloading.kujo,4,4,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_operator_simple.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_range_args.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_range_debug.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_range_simple.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_reassign.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_regex.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_regex_simple.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_self_backward_compat.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_self_field.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_self_minimal.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_self_param.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_self_return.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
